id,dim_1,dim_2,dim_3,box_type,price_25,price_100,price_250,price_500,price_1000
S-4735,6.0,18.0,22.0,200 lb. Test,2.84,2.68,2.52,2.4,2.24
S-4643,8.0,16.0,20.0,200 lb. Test,2.85,2.68,2.5,2.31,2.19
S-18374,10.0,10.0,28.0,200 lb. Test,2.85,2.65,2.46,2.29,2.1
S-4450,4.0,24.0,24.0,200 lb. Test,2.86,2.86,2.86,2.86,2.86
S-18379,10.0,10.0,32.0,200 lb. Test,2.88,2.66,2.5,2.39,2.16
S-4184,10.0,16.0,18.0,200 lb. Test,2.89,2.59,2.4,2.24,2.08
S-4503,8.0,14.0,24.0,200 lb. Test,2.89,2.69,2.52,2.31,2.23
S-4218,16.0,16.0,24.0,200 lb. Test,2.92,2.92,2.92,2.92,2.92
S-18361,8.0,16.0,22.0,200 lb. Test,2.93,2.72,2.58,2.39,2.2
S-4504,6.0,16.0,24.0,200 lb. Test,2.93,2.75,2.64,2.4,2.27
S-22631,6.0,6.0,42.0,200 lb. Test,2.95,2.65,2.43,2.29,2.13
S-14273,14.0,14.0,20.0,200 lb. Test,2.97,2.69,2.52,2.3,2.23
S-4238,14.0,16.0,18.0,200 lb. Test,2.99,2.84,2.68,2.52,2.4
S-4239,8.0,18.0,18.0,200 lb. Test,2.99,2.84,2.68,2.52,2.4
S-4644,10.0,16.0,20.0,200 lb. Test,2.99,2.84,2.65,2.58,2.47
S-19848,12.0,16.0,20.0,200 lb. Test,3.02,2.84,2.68,2.54,2.39
S-4416,6.0,18.0,24.0,200 lb. Test,3.02,2.77,2.68,2.43,2.3
S-23980,12.0,18.0,20.0,200 lb. Test,3.05,2.83,2.66,2.53,2.42
S-4738,10.0,14.0,24.0,200 lb. Test,3.07,2.85,2.68,2.46,2.29
S-16782,8.0,12.0,28.0,200 lb. Test,3.07,2.85,2.66,2.5,2.23
S-4753,10.0,10.0,38.0,200 lb. Test,3.13,2.93,2.75,2.59,2.47
S-22199,8.0,18.0,20.0,200 lb. Test,3.14,2.95,2.76,2.58,2.44
S-15039,8.0,18.0,22.0,200 lb. Test,3.14,2.93,2.8,2.65,2.52
S-4647,2.0,20.0,20.0,200 lb. Test,3.16,2.93,2.84,2.63,2.5
S-4468,10.0,18.0,18.0,200 lb. Test,3.17,2.92,2.76,2.58,2.44
S-18378,4.0,12.0,30.0,200 lb. Test,3.17,2.88,2.72,2.54,2.31
S-21008,8.0,8.0,38.0,200 lb. Test,3.18,2.92,2.64,2.43,2.29
S-21051,6.0,12.0,30.0,200 lb. Test,3.19,2.93,2.76,2.63,2.35
S-22697,10.0,12.0,26.0,200 lb. Test,3.2,2.99,2.76,2.58,2.39
S-12600,16.0,16.0,18.0,200 lb. Test,3.21,3.07,2.89,2.75,2.54
S-4217,12.0,14.0,24.0,200 lb. Test,3.21,2.97,2.83,2.59,2.4
S-22659,10.0,12.0,28.0,200 lb. Test,3.25,3.02,2.78,2.61,2.42
S-13322,10.0,16.0,22.0,200 lb. Test,3.28,2.97,2.85,2.59,2.44
S-4506,12.0,12.0,26.0,200 lb. Test,3.29,3.13,2.88,2.68,2.54
S-4734,14.0,14.0,22.0,200 lb. Test,3.3,3.02,2.89,2.65,2.47
S-4470,8.0,20.0,20.0,200 lb. Test,3.32,3.13,2.93,2.77,2.64
S-21590,10.0,14.0,26.0,200 lb. Test,3.32,3.18,3.07,2.85,2.66
S-4914,12.0,12.0,28.0,200 lb. Test,3.32,3.16,2.92,2.7,2.59
S-19092,10.0,12.0,32.0,200 lb. Test,3.32,3.05,2.87,2.72,2.46
S-4617,12.0,12.0,30.0,200 lb. Test,3.33,3.08,2.89,2.75,2.47
S-4893,14.0,16.0,16.0,200 lb. Test,3.33,2.99,2.69,2.5,2.31
S-22643,14.0,18.0,18.0,200 lb. Test,3.33,3.1,2.94,2.81,2.68
S-4800,10.0,16.0,24.0,200 lb. Test,3.38,3.16,3.07,2.84,2.68
S-4748,8.0,8.0,40.0,200 lb. Test,3.39,3.14,2.84,2.68,2.52
S-4364,10.0,20.0,20.0,200 lb. Test,3.4,3.21,3.07,2.85,2.76
S-18363,12.0,16.0,22.0,200 lb. Test,3.4,3.17,2.99,2.76,2.58
S-12604,10.0,18.0,20.0,200 lb. Test,3.45,3.21,3.02,2.84,2.65
S-4201,20.0,20.0,20.0,200 lb. Test,3.5,3.5,3.5,3.5,3.5
S-18364,10.0,18.0,22.0,200 lb. Test,3.5,3.28,3.05,2.85,2.66
S-23335,6.0,20.0,22.0,200 lb. Test,3.52,3.25,3.0,2.81,2.65
S-10655,8.0,18.0,24.0,200 lb. Test,3.52,3.21,3.08,2.83,2.64
S-4403,10.0,14.0,30.0,200 lb. Test,3.52,3.3,3.13,2.85,2.69
S-4868,12.0,12.0,32.0,200 lb. Test,3.54,3.28,3.08,2.93,2.66
S-12606,4.0,22.0,22.0,200 lb. Test,3.55,3.28,2.99,2.83,2.64
S-19050,14.0,16.0,22.0,200 lb. Test,3.56,3.33,3.16,2.92,2.72
S-21060,12.0,14.0,26.0,200 lb. Test,3.6,3.42,3.32,3.08,2.87
S-4901,14.0,18.0,20.0,200 lb. Test,3.61,3.38,3.18,3.07,2.84
S-4830,4.0,12.0,36.0,200 lb. Test,3.61,3.3,3.13,2.92,2.66
S-16763,4.0,20.0,24.0,200 lb. Test,3.63,3.4,3.19,2.96,2.69
S-23995,4.0,20.0,30.0,200 lb. Test,3.67,3.43,3.28,3.02,2.85
S-4997,12.0,18.0,22.0,200 lb. Test,3.73,3.52,3.28,3.07,2.84
S-4448,6.0,20.0,24.0,200 lb. Test,3.73,3.52,3.29,3.02,2.75
S-25900,6.0,20.0,28.0,200 lb. Test,3.73,3.51,3.31,3.06,2.88
S-4841,16.0,16.0,22.0,200 lb. Test,3.74,3.52,3.3,3.08,2.85
S-11386,6.0,20.0,30.0,200 lb. Test,3.74,3.52,3.32,3.07,2.89
S-19872,12.0,18.0,24.0,200 lb. Test,3.76,3.4,3.3,3.16,2.94
S-4959,14.0,14.0,26.0,200 lb. Test,3.76,3.63,3.5,3.2,2.99
S-13301,14.0,14.0,30.0,200 lb. Test,3.77,3.39,3.16,2.97,2.85
S-14302,6.0,12.0,36.0,200 lb. Test,3.77,3.42,3.3,3.08,2.75
S-4645,16.0,16.0,20.0,200 lb. Test,3.79,3.64,3.41,3.32,3.08
S-4413,6.0,22.0,22.0,200 lb. Test,3.79,3.52,3.21,3.02,2.83
S-21562,14.0,20.0,20.0,200 lb. Test,3.83,3.6,3.38,3.28,3.02
S-21566,8.0,12.0,36.0,200 lb. Test,3.85,3.52,3.32,3.12,2.8
S-16704,8.0,8.0,42.0,200 lb. Test,3.88,3.55,3.28,3.02,2.85
S-15040,10.0,20.0,22.0,200 lb. Test,3.88,3.56,3.33,3.14,2.92
S-4656,14.0,16.0,24.0,200 lb. Test,3.88,3.56,3.4,3.2,2.93
S-4658,10.0,18.0,24.0,200 lb. Test,3.89,3.54,3.29,3.08,2.92
S-4673,10.0,12.0,36.0,200 lb. Test,3.89,3.55,3.33,3.13,2.84
S-21567,6.0,14.0,36.0,200 lb. Test,3.89,3.61,3.36,3.17,2.85
S-4651,8.0,22.0,22.0,200 lb. Test,3.96,3.61,3.4,3.17,2.97
S-19829,6.0,18.0,28.0,200 lb. Test,3.96,3.64,3.4,3.19,2.93
S-4232,10.0,14.0,36.0,200 lb. Test,3.96,3.7,3.4,3.21,2.93
S-22652,16.0,18.0,20.0,200 lb. Test,4.05,3.86,3.63,3.52,3.29
S-19091,8.0,20.0,30.0,200 lb. Test,4.05,3.76,3.54,3.3,3.14
S-24074,14.0,18.0,22.0,200 lb. Test,4.09,3.85,3.6,3.4,3.19
S-4637,18.0,18.0,20.0,200 lb. Test,4.12,3.79,3.7,3.33,3.14
S-4655,14.0,18.0,24.0,200 lb. Test,4.17,3.85,3.56,3.33,3.07
S-16714,10.0,10.0,40.0,200 lb. Test,4.18,3.89,3.5,3.32,2.99
S-25903,6.0,18.0,26.0,200 lb. Test,4.2,3.88,3.66,3.44,3.11
S-4915,10.0,16.0,28.0,200 lb. Test,4.25,3.93,3.7,3.39,3.17
S-23993,16.0,20.0,20.0,200 lb. Test,4.28,4.07,3.83,3.73,3.46
S-18375,8.0,18.0,28.0,200 lb. Test,4.29,3.93,3.73,3.38,3.14
S-4667,10.0,20.0,30.0,200 lb. Test,4.29,4.0,3.77,3.52,3.32
S-4797,16.0,18.0,22.0,200 lb. Test,4.3,4.02,3.76,3.55,3.31
S-13325,8.0,20.0,24.0,200 lb. Test,4.3,3.98,3.74,3.41,3.18
S-12654,10.0,16.0,26.0,200 lb. Test,4.3,3.93,3.61,3.41,3.13
S-4532,14.0,14.0,36.0,200 lb. Test,4.31,3.88,3.55,3.38,3.2
S-19827,8.0,18.0,32.0,200 lb. Test,4.34,4.1,3.83,3.54,3.33
S-16780,10.0,18.0,26.0,200 lb. Test,4.36,4.0,3.75,3.52,3.19
S-4763,10.0,22.0,22.0,200 lb. Test,4.39,3.98,3.75,3.4,3.2
S-19816,14.0,20.0,24.0,200 lb. Test,4.4,4.09,3.78,3.54,3.21
S-16783,14.0,14.0,28.0,200 lb. Test,4.46,4.17,3.86,3.63,3.29
S-10662,12.0,18.0,32.0,200 lb. Test,4.46,4.24,3.96,3.7,3.5
S-19054,16.0,18.0,24.0,200 lb. Test,4.47,4.17,3.88,3.61,3.32
S-23989,12.0,16.0,26.0,200 lb. Test,4.49,4.18,3.96,3.77,3.36
S-4618,12.0,12.0,40.0,200 lb. Test,4.58,4.23,3.94,3.75,3.39
S-4736,12.0,22.0,22.0,200 lb. Test,4.58,4.22,3.93,3.7,3.41
S-4928,12.0,20.0,30.0,200 lb. Test,4.58,4.3,4.06,3.75,3.54
S-15084,6.0,18.0,36.0,200 lb. Test,4.58,4.25,3.91,3.63,3.38
S-11382,8.0,24.0,24.0,200 lb. Test,4.6,4.25,3.94,3.74,3.54
S-4408,12.0,16.0,28.0,200 lb. Test,4.6,4.24,3.99,3.64,3.39
S-21066,12.0,16.0,36.0,200 lb. Test,4.6,4.29,3.98,3.77,3.41
S-11375,14.0,14.0,40.0,200 lb. Test,4.62,4.24,3.93,3.75,3.56
S-16742,14.0,20.0,22.0,200 lb. Test,4.62,4.31,4.09,3.85,3.53
S-20539,10.0,18.0,28.0,200 lb. Test,4.63,4.23,3.99,3.64,3.38
S-4663,14.0,16.0,26.0,200 lb. Test,4.65,4.29,4.0,3.88,3.4
S-4228,12.0,18.0,26.0,200 lb. Test,4.65,4.29,4.0,3.74,3.4
S-20495,18.0,18.0,22.0,200 lb. Test,4.67,4.39,4.12,3.88,3.61
S-4629,16.0,16.0,26.0,200 lb. Test,4.74,4.39,4.1,3.77,3.52
S-14289,14.0,22.0,22.0,200 lb. Test,4.74,4.39,4.09,3.77,3.55
S-4907,10.0,20.0,24.0,200 lb. Test,4.74,4.4,4.1,3.77,3.54
S-22698,14.0,18.0,26.0,200 lb. Test,4.74,4.35,4.11,3.79,3.46
S-4908,10.0,24.0,24.0,200 lb. Test,4.77,4.43,4.12,3.88,3.64
S-4225,16.0,18.0,26.0,200 lb. Test,4.78,4.43,4.22,3.88,3.56
S-4508,14.0,16.0,28.0,200 lb. Test,4.78,4.43,4.22,3.79,3.55
S-22655,16.0,20.0,24.0,200 lb. Test,4.82,4.46,4.18,3.88,3.56
S-4501,16.0,22.0,22.0,200 lb. Test,4.91,4.6,4.29,3.98,3.75
S-4758,18.0,18.0,28.0,200 lb. Test,4.94,4.64,4.41,4.23,3.88
S-11383,12.0,18.0,28.0,200 lb. Test,4.94,4.53,4.25,3.89,3.61
S-16777,16.0,16.0,32.0,200 lb. Test,4.96,4.6,4.31,3.96,3.73
S-23990,10.0,22.0,26.0,200 lb. Test,4.98,4.6,4.25,4.0,3.73
S-22183,10.0,20.0,28.0,200 lb. Test,4.98,4.63,4.3,3.99,3.7
S-4646,18.0,20.0,22.0,200 lb. Test,5.0,4.65,4.31,4.06,3.73
S-4220,12.0,20.0,24.0,200 lb. Test,5.0,4.74,4.39,4.06,3.76
S-4702,12.0,18.0,36.0,200 lb. Test,5.08,4.75,4.4,4.1,3.79
S-19051,20.0,20.0,22.0,200 lb. Test,5.09,4.74,4.42,4.06,3.85
S-21061,18.0,18.0,26.0,200 lb. Test,5.12,4.74,4.39,4.13,3.79
S-12611,12.0,20.0,28.0,200 lb. Test,5.13,4.77,4.4,4.1,3.77
S-19081,16.0,16.0,30.0,200 lb. Test,5.15,4.77,4.47,4.17,3.85
S-18372,12.0,22.0,26.0,200 lb. Test,5.19,4.78,4.43,4.17,3.86
S-12607,18.0,22.0,22.0,200 lb. Test,5.23,4.91,4.6,4.25,3.96
S-12655,18.0,20.0,26.0,200 lb. Test,5.23,4.83,4.42,4.22,3.88
S-4459,6.0,24.0,28.0,200 lb. Test,5.32,4.88,4.58,4.25,3.94
S-4405,16.0,16.0,36.0,200 lb. Test,5.35,4.96,4.65,4.3,4.0
S-15042,18.0,20.0,24.0,200 lb. Test,5.41,4.98,4.65,4.4,3.96
S-4700,20.0,20.0,26.0,200 lb. Test,5.41,4.97,4.46,4.29,3.94
S-21052,16.0,18.0,30.0,200 lb. Test,5.45,4.87,4.77,4.4,4.05
S-15044,4.0,26.0,26.0,200 lb. Test,5.47,5.08,4.74,4.34,3.96
S-4999,16.0,24.0,24.0,200 lb. Test,5.49,5.09,4.76,4.43,4.1
S-11379,20.0,20.0,24.0,200 lb. Test,5.51,5.13,4.77,4.45,4.06
S-22695,6.0,24.0,30.0,200 lb. Test,5.51,5.05,4.67,4.39,4.1
S-15045,18.0,18.0,30.0,200 lb. Test,5.54,5.12,4.89,4.62,4.24
S-4826,20.0,22.0,22.0,200 lb. Test,5.58,5.2,4.87,4.46,4.22
S-13330,10.0,24.0,30.0,200 lb. Test,5.6,5.13,4.76,4.45,4.17
S-10656,14.0,24.0,24.0,200 lb. Test,5.64,5.22,4.91,4.6,4.23
S-4664,6.0,26.0,26.0,200 lb. Test,5.65,5.22,4.78,4.52,4.12
S-22660,12.0,24.0,28.0,200 lb. Test,5.67,5.22,4.77,4.49,4.17
S-16781,8.0,26.0,26.0,200 lb. Test,5.79,5.34,4.91,4.64,4.25
S-12772,8.0,18.0,40.0,200 lb. Test,5.79,5.45,5.12,4.83,4.53
S-4960,18.0,24.0,24.0,200 lb. Test,5.95,5.51,5.15,4.83,4.4
S-22209,20.0,24.0,24.0,200 lb. Test,5.96,5.55,5.19,4.98,4.43
S-4829,6.0,28.0,28.0,200 lb. Test,6.1,5.79,5.47,5.28,4.77
S-12656,10.0,26.0,26.0,200 lb. Test,6.11,5.64,5.2,4.91,4.47
S-18380,18.0,18.0,32.0,200 lb. Test,6.17,5.72,5.34,4.98,4.6
S-16740,20.0,20.0,28.0,200 lb. Test,6.19,5.72,5.37,4.98,4.52
S-4747,4.0,24.0,36.0,200 lb. Test,6.29,5.95,5.54,5.33,4.76
S-15081,18.0,20.0,30.0,200 lb. Test,6.3,5.61,5.49,5.12,4.74
S-22662,18.0,18.0,34.0,200 lb. Test,6.31,5.65,5.51,5.12,4.67
S-20543,8.0,28.0,28.0,200 lb. Test,6.34,6.05,5.72,5.49,4.94
S-20494,20.0,20.0,30.0,200 lb. Test,6.44,5.98,5.6,5.2,4.72
S-4912,12.0,26.0,26.0,200 lb. Test,6.47,5.95,5.49,5.15,4.77
S-4638,18.0,18.0,36.0,200 lb. Test,6.55,5.87,5.72,5.32,4.87
S-4811,6.0,24.0,36.0,200 lb. Test,6.57,6.22,5.83,5.51,5.09
S-19086,10.0,28.0,28.0,200 lb. Test,6.61,6.31,5.95,5.71,5.12
S-18373,14.0,26.0,26.0,200 lb. Test,6.63,6.14,5.68,5.37,4.98
S-4666,12.0,28.0,28.0,200 lb. Test,6.69,6.41,6.0,5.77,5.15
S-19824,22.0,24.0,24.0,200 lb. Test,6.77,6.43,5.99,5.76,5.13
S-14283,16.0,26.0,26.0,200 lb. Test,6.83,6.33,5.88,5.58,5.2
S-4917,8.0,24.0,36.0,200 lb. Test,6.9,6.51,6.1,5.77,5.43
S-23336,10.0,20.0,40.0,200 lb. Test,6.9,6.49,6.1,5.75,5.37
S-21561,22.0,22.0,24.0,200 lb. Test,6.91,6.41,6.07,5.67,5.33
S-14301,6.0,30.0,30.0,200 lb. Test,6.95,6.43,6.12,5.79,5.33
S-19830,22.0,28.0,28.0,200 lb. Test,7.0,7.0,7.0,7.0,7.0
S-19194,10.0,24.0,36.0,200 lb. Test,7.05,6.63,6.23,5.85,5.61
S-16785,20.0,24.0,28.0,200 lb. Test,7.06,6.55,6.21,5.99,5.68
S-4963,20.0,26.0,26.0,200 lb. Test,7.23,6.86,6.41,6.12,5.71
S-4845,8.0,30.0,30.0,200 lb. Test,7.23,6.67,6.41,6.0,5.58
S-4961,20.0,24.0,30.0,200 lb. Test,7.32,6.83,6.46,6.22,5.89
S-4569,20.0,20.0,36.0,200 lb. Test,7.36,6.95,6.0,5.76,5.13
S-15082,10.0,30.0,30.0,200 lb. Test,7.42,6.86,6.55,6.21,5.71
S-13323,22.0,22.0,30.0,200 lb. Test,7.54,7.17,6.75,6.53,6.05
S-21563,18.0,24.0,36.0,200 lb. Test,7.6,7.08,6.6,6.21,5.64
S-10661,12.0,30.0,30.0,200 lb. Test,7.63,7.05,6.69,6.3,5.85
S-4192,20.0,24.0,36.0,200 lb. Test,7.96,7.63,7.35,7.05,6.75
S-4668,16.0,30.0,30.0,200 lb. Test,8.05,7.39,7.06,6.67,6.14
S-4190,26.0,26.0,26.0,200 lb. Test,8.06,7.69,7.29,6.87,6.43
S-4652,22.0,22.0,36.0,200 lb. Test,8.18,7.76,7.35,6.95,6.53
S-19048,20.0,20.0,40.0,200 lb. Test,8.19,7.84,6.83,6.5,5.87
S-4866,20.0,28.0,28.0,200 lb. Test,8.32,7.66,7.2,7.02,6.67
S-23337,12.0,24.0,40.0,200 lb. Test,8.77,8.37,7.76,7.32,6.85
S-20538,24.0,24.0,26.0,200 lb. Test,8.88,8.16,7.65,7.11,6.49
S-20544,8.0,32.0,32.0,200 lb. Test,9.11,8.52,8.0,7.45,7.35
S-16775,24.0,26.0,30.0,200 lb. Test,9.13,8.62,8.11,7.42,7.02
S-15083,24.0,24.0,32.0,200 lb. Test,9.15,8.5,7.95,7.4,6.83
S-19825,24.0,24.0,28.0,200 lb. Test,9.21,8.5,7.96,7.39,6.74
S-19870,12.0,30.0,36.0,200 lb. Test,9.34,8.73,8.15,7.56,7.39
S-16776,20.0,30.0,30.0,200 lb. Test,9.48,8.76,8.4,7.57,7.28
S-16778,12.0,32.0,32.0,200 lb. Test,9.48,8.84,8.29,7.66,7.55
S-4572,24.0,24.0,30.0,200 lb. Test,9.55,8.79,8.28,7.66,7.01
S-4433,28.0,28.0,28.0,200 lb. Test,9.7,8.95,8.4,8.19,7.75
S-4659,24.0,24.0,36.0,200 lb. Test,9.76,9.09,8.5,7.93,7.28
S-22182,26.0,26.0,36.0,200 lb. Test,10.92,10.15,9.48,8.85,8.12
S-4435,34.0,34.0,34.0,200 lb. Test,11.0,11.0,11.0,11.0,11.0
S-4366,30.0,30.0,30.0,200 lb. Test,11.16,10.27,9.65,9.42,8.89
S-4193,36.0,36.0,36.0,200 lb. Test,11.16,11.16,11.16,11.16,11.16
S-4457,18.0,36.0,36.0,200 lb. Test,12.74,12.08,11.29,10.48,9.99
S-16766,30.0,30.0,40.0,200 lb. Test,14.54,13.79,13.02,12.3,11.55
